,Class,PN,DN2,DN,A1_A,A1_B,D,K,L,Th,n,C,B1_A,B1_B,N_A,N_B,H,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,b,m_kg,LSR,LZR,LZM,LZJ
60,900,class_900,32,"1 1/4""",42.4,-,160,111.1,26,M24,4,28.6,43.5,-,64,-,41,63.5,2,2,75,47.6,63.5,65.1,46,7,5,-,4.54,-,140,135,140
61,900,class_900,40,"1 1/2""",48.3,-,180,123.8,30,M27,4,31.8,49.5,-,70,-,44,73.0,2,2,84,54,73,74.6,52.4,7,5,-,6.36,-,155,150,155
62,900,class_900,50,"2""",60.3,-,215,165.1,26,M24,8,38.1,61.5,-,105,-,57,92.1,2,2,103,73,92.1,93.7,71.4,7,5,-,9.99,-,160,155,160
63,900,class_900,65,"2 1/2""",76.1,-,245,190.5,30,M27,8,41.3,77.5,-,124,-,64,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,-,16.34,-,175,170,175
64,900,class_900,80,"3""",88.9,-,240,190.5,26,M24,8,38.1,90.5,-,127,-,54,127.0,2,2,138,108,127,128.6,106.4,7,5,-,14.07,-,160,155,165
65,900,class_900,100,"4""",114.3,-,290,235.0,33,M30,8,44.5,116.0,-,159,-,70,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,-,24.06,-,190,185,190
66,900,class_900,125,"5""",139.7,-,350,279.4,36,M33,8,50.8,143.5,-,190,-,79,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,-,37.68,-,210,205,210
67,900,class_900,150,"6""",168.3,-,380,317.5,33,M30,12,55.6,170.5,-,235,-,86,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,-,49.03,-,210,205,215
68,900,class_900,200,"8""",219.1,-,470,393.7,39,M36*3,12,63.5,221.5,-,298,-,102,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,-,78.09,-,240,235,240
69,900,class_900,250,"10""",273.0,-,545,469.9,39,M36*3,16,69.9,276.5,-,368,-,108,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,-,111.23,-,250,245,255
70,900,class_900,300,"12""",323.9,-,610,533.4,39,M36*3,20,79.4,328.0,-,419,-,117,381.0,2,2,392,342.9,381,382.6,341.3,7,5,-,148.0,-,270,265,270
71,900,class_900,350,"14""",355.6,-,640,558.8,42,M39*3,20,85.8,360.0,-,451,-,130,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,-,172.52,-,290,285,295
72,900,class_900,400,"16""",406.4,-,705,616.0,45,M42*3,20,88.9,411.0,-,508,-,133,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,-,208.39,-,300,295,310
73,900,class_900,450,"18""",457.0,-,785,685.8,51,M48*3,20,101.6,462.0,-,565,-,152,533.4,2,2,544,489,533.4,535,487.4,7,5,-,293.74,-,340,335,350
74,900,class_900,500,"20""",508.0,-,855,749.3,55,M52*3,20,108.0,513.5,-,622,-,159,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,-,359.57,-,365,360,375
75,900,class_900,600,"24""",610.0,-,1040,901.7,68,M64*3,20,139.7,616.5,-,749,-,203,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,-,671.92,-,450,445,470
76,1500,class_1500,15,"1/2""",21.3,-,120,82.6,22,M20,4,22.3,22.5,-,38,-,32,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,-,2.72,-,120,115,120
77,1500,class_1500,20,"3/4""",26.9,-,130,88.9,22,M20,4,25.4,27.5,-,44,-,35,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,-,2.72,-,125,120,125
78,1500,class_1500,25,"1""",33.7,-,150,101.6,26,M24,4,28.6,34.5,-,52,-,41,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,-,3.41,-,140,135,140
79,1500,class_1500,32,"1 1/4""",42.4,-,160,111.1,26,M24,4,28.6,43.5,-,64,-,41,63.5,2,2,75,47.6,63.5,65.1,46,7,5,-,4.54,-,140,135,140
80,1500,class_1500,40,"1 1/2""",48.3,-,180,123.8,30,M27,4,31.8,49.5,-,70,-,44,73.0,2,2,84,54,73,74.6,52.4,7,5,-,6.36,-,155,150,155
81,1500,class_1500,50,"2""",60.3,-,215,165.1,26,M24,8,38.1,61.5,-,105,-,57,92.1,2,2,103,73,92.1,93.7,71.4,7,5,-,9.99,-,160,155,160
82,1500,class_1500,65,"2 1/2""",76.1,-,245,190.5,30,M27,8,41.3,77.5,-,124,-,64,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,-,16.34,-,175,170,175
