,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,R1,G,h,RF_d,S,S1,PJ_m_kg,SE_m_kg,RF_f1
77,25,450,457.0,480,670,600,36,20,M33,50,467,490,8,8,110,555,8.8,8.8,63.0,16.08,2
78,25,500,508.0,530,730,660,36,20,M33,56,519,541,8,8,125,615,10.0,10.0,82.0,22.76,2
79,25,600,610.0,630,845,770,39,20,M36*3,68,622,642,8,8,125,720,11.0,11.0,124.5,30.23,2
80,40,10,17.2,14,90,60,14,4,M12,14,21,18,3,3,35,40,1.8,1.8,0.5,0.04,2
81,40,15,21.3,18,95,65,14,4,M12,14,25,22,3,3,38,45,2.0,2.0,0.5,0.06,2
82,40,20,26.9,25,105,75,14,4,M12,16,31,29,4,4,40,58,2.3,2.3,1.0,0.09,2
83,40,25,33.7,32,115,85,14,4,M12,16,38,36,4,4,40,68,2.6,2.6,1.0,0.14,2
84,40,32,42.4,38,140,100,18,4,M16,18,46,42,5,5,42,78,2.6,2.6,2.0,0.18,2
85,40,40,48.3,45,150,110,18,4,M16,18,53,50,5,5,45,88,2.6,2.6,2.0,0.22,2
86,40,50,60.3,57,165,125,18,4,M16,20,65,62,5,5,48,102,2.9,2.9,2.5,0.32,2
87,40,65,76.1,76,185,145,18,8,M16,22,81,81,6,6,52,122,2.9,2.9,3.5,0.43,2
88,40,80,88.9,89,200,160,18,8,M16,24,94,94,6,6,58,138,3.2,3.2,4.0,0.61,2
89,40,100,114.3,108,235,190,22,8,M20,26,120,114,6,6,65,162,3.6,3.6,6.0,0.93,2
90,40,125,139.7,133,270,220,26,8,M24,28,145,139,6,6,68,188,4.0,4.0,8.0,1.3,2
91,40,150,168.3,159,300,250,26,8,M24,30,174,165,6,6,75,218,4.5,4.5,10.0,1.9,2
92,40,200,219.1,219,375,320,30,12,M27,36,226,226,6,6,88,285,6.3,6.3,17.5,4.2,2
93,40,250,273.0,273,450,385,33,12,M30,42,281,281,8,8,105,345,7.1,7.1,28.5,6.84,2
94,40,300,323.9,325,515,450,33,16,M30,48,333,334,8,8,115,410,8.0,8.0,40.5,10.28,2
95,40,350,355.6,377,580,510,36,16,M33,54,365,386,8,8,125,465,8.8,8.8,60.8,14.28,2
96,40,400,406.4,426,660,585,39,16,M36*3,60,416,435,8,8,135,535,11.0,11.0,88.0,22.69,2
97,40,450,457.0,480,685,610,39,20,M36*3,66,467,490,8,8,135,560,12.5,12.5,90.0,26.57,2
98,40,500,508.0,530,755,670,42,20,M39*3,72,519,541,8,8,140,615,14.2,14.2,118.0,34.73,2
99,40,600,610.0,630,890,795,48,20,M45*3,84,622,642,8,8,150,735,16.0,16.0,186.0,51.74,2
