,PN2,PN,DN2,DN,D,K,L,n,Th,C,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,c_num,RJ_d,P,E,F,RJ_r,m_kg
59,900,class_900,25,"1""",150,101.6,26,4,M24,28.6,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,71.5,50.8,6.35,8.74,0.8,4.09
60,900,class_900,32,"1 1/4""",160,111.1,26,4,M24,28.6,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,81,60.33,6.35,8.74,0.8,4.54
61,900,class_900,40,"1 1/2""",180,123.8,30,4,M27,31.8,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,92,68.27,6.35,8.74,0.8,6.36
62,900,class_900,50,"2""",215,165.1,26,8,M24,38.1,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R24,124,95.25,7.92,11.91,0.8,11.35
63,900,class_900,65,"2 1/2""",245,190.5,30,8,M27,41.3,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R27,137,107.95,7.92,11.91,0.8,15.89
64,900,class_900,80,"3""",240,190.5,26,8,M24,38.1,127.0,2,2,138,108,127,128.6,106.4,7,5,R31,156,123.83,7.92,11.91,0.8,14.53
65,900,class_900,100,"4""",290,235.0,33,8,M30,44.5,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R37,181,149.23,7.92,11.91,0.8,24.52
66,900,class_900,125,"5""",350,279.4,36,8,M33,50.8,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R41,216,180.98,7.92,11.91,0.8,39.5
67,900,class_900,150,"6""",380,317.5,33,12,M30,55.6,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R45,241,211.12,7.92,11.91,0.8,51.3
68,900,class_900,200,"8""",470,393.7,39,12,M36*3,63.5,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R49,308,269.88,7.92,11.91,0.8,89.44
69,900,class_900,250,"10""",545,469.9,39,16,M36*3,69.9,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R53,362,323.85,7.92,11.91,0.8,131.66
70,900,class_900,300,"12""",610,533.4,39,20,M36*3,79.4,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R57,419,381,7.92,11.91,0.8,187.5
71,900,class_900,350,"14""",640,558.8,42,20,M39*3,85.8,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,R62,467,419.1,11.13,16.66,1.5,224.28
72,900,class_900,400,"16""",705,616.0,45,20,M42*3,88.9,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,R66,524,469.9,11.13,16.66,1.5,281.03
73,900,class_900,450,"18""",785,685.8,51,20,M48*3,101.6,533.4,2,2,544,489,533.4,535,487.4,7,5,R70,594,533.4,12.7,12.7,1.5,399.52
74,900,class_900,500,"20""",855,749.3,55,20,M52*3,108.0,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,R74,648,584.2,12.7,12.7,1.5,502.58
75,900,class_900,600,"24""",1040,901.7,68,20,M64*3,139.7,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,R78,772,692.15,15.88,15.88,2.4,952.95
76,1500,class_1500,15,"1/2""",120,82.6,22,4,M20,22.3,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R12,60.5,39.67,6.35,8.74,0.8,1.82
77,1500,class_1500,20,"3/4""",130,88.9,22,4,M20,25.4,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R14,66.5,44.45,6.35,8.74,0.8,2.72
78,1500,class_1500,25,"1""",150,101.6,26,4,M24,28.6,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,71.5,50.8,6.35,8.74,0.8,4.09
79,1500,class_1500,32,"1 1/4""",160,111.1,26,4,M24,28.6,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,81,60.33,6.35,8.74,0.8,4.54
