,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,b,m_kg,LSR,LZR,LZJ
79,16,125,139.7,133,250,210,18,8,M16,22,143.5,135,188,2,188,2,5,4.5,155,175,176,154,6,5.5,70,95,-
80,16,150,168.3,159,285,240,22,8,M20,24,170.5,161,212,2,212,2,5,4.5,183,203,204,182,6,7.0,80,105,-
81,16,200,219.1,219,340,295,22,12,M20,26,221.5,222,268,2,268,2,5,4.5,239,259,260,238,8,9.5,80,110,-
82,16,250,273.0,273,405,355,26,12,M24,29,276.5,276,320,2,320,2,5,4.5,292,312,313,291,10,14.0,95,125,-
83,16,300,323.9,325,460,410,26,12,M24,32,328.0,328,378,2,378,2,5,4.5,343,363,364,342,11,19.0,100,135,-
84,16,350,355.6,377,520,470,26,16,M24,35,360.0,381,428,2,428,2,5.5,5,395,421,422,394,12,28.0,105,140,-
85,16,400,406.4,426,580,525,30,16,M27,38,411.0,430,490,2,490,2,5.5,5,447,473,478,446,12,36.0,115,150,-
86,16,450,457.0,480,640,585,30,20,M27,42,462.0,485,550,2,550,2,5.5,5,497,523,524,496,12,46.0,120,160,-
87,16,500,508.0,530,715,650,33,20,M30,46,513.5,535,610,2,610,2,5.5,5,549,575,576,548,12,64.0,135,175,-
88,16,600,610.0,630,840,770,36,20,M33,52,616.5,636,725,2,725,2,5.5,5,649,675,676,648,12,96.0,145,185,-
89,25,10,17.2,14,90,60,14,4,M12,14,18.0,15,40,2,40,2,4.5,4,24,34,35,23,4,0.6,-,65,-
90,25,15,21.3,18,95,65,14,4,M12,14,22.5,19,45,2,45,2,4.5,4,29,39,40,28,4,0.5,-,65,-
91,25,20,26.9,25,105,75,14,4,M12,16,27.5,26,58,2,58,2,4.5,4,36,50,51,35,4,1.0,-,70,-
92,25,25,33.7,32,115,85,14,4,M12,16,34.5,33,68,2,68,2,4.5,4,43,57,58,42,5,1.0,-,70,-
93,25,32,42.4,38,140,100,18,4,M16,18,43.5,39,78,2,78,2,4.5,4,51,65,66,50,5,2.0,-,85,-
94,25,40,48.3,45,150,110,18,4,M16,18,49.5,46,88,2,88,2,4.5,4,61,75,76,60,5,2.0,-,85,-
95,25,50,60.3,57,165,125,18,4,M16,20,61.5,59,102,2,102,2,4.5,4,73,87,88,72,5,2.5,-,90,-
