,PN,DN,D,K,L,n,Th,C,N,R,S_min,S1,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,RJ_d,P,E,F,RJ_r,LSR,LZR,LZJ
130,40,500,755,670,42,20,M39*3,57,576,12,21.0,39.0,615,2,615,2,5.5,5,549,575,576,548,-,-,-,-,-,-,215,-
131,40,600,890,795,48,20,M45*3,72,686,12,24.0,45.0,735,2,735,2,5.5,5,649,675,676,648,-,-,-,-,-,-,260,-
132,63,10,100,70,14,4,M12,20,40,4,10.0,15.0,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,-,75,90
133,63,15,105,75,14,4,M12,20,45,4,10.0,15.0,45,2,45,2,4.5,4,29,39,40,28,55,35,6.5,9,0.8,-,75,90
134,63,20,130,90,18,4,M16,22,50,4,10.0,15.0,58,2,58,2,4.5,4,36,50,51,35,68,45,6.5,9,0.8,-,95,105
135,63,25,140,100,18,4,M16,24,61,4,10.0,18.0,68,2,68,2,4.5,4,43,57,58,42,78,50,6.5,9,0.8,-,95,110
136,63,32,155,110,22,4,M20,26,68,6,10.0,18.0,78,2,78,2,4.5,4,51,65,66,50,86,65,6.5,9,0.8,-,110,125
137,63,40,170,125,22,4,M20,28,82,6,10.0,21.0,88,2,88,2,4.5,4,61,75,76,60,102,75,6.5,9,0.8,-,115,130
138,63,50,180,135,22,4,M20,26,90,6,10.0,20.0,102,2,102,2,4.5,4,73,87,88,72,112,85,8,12,0.8,-,110,130
139,63,65,205,160,22,8,M20,26,105,6,10.0,20.0,122,2,122,2,4.5,4,95,109,110,94,136,110,8,12,0.8,-,110,130
140,63,80,215,170,22,8,M20,28,122,8,11.0,21.0,138,2,138,2,4.5,4,106,120,121,105,146,115,8,12,0.8,-,115,135
141,63,100,250,200,26,8,M24,30,146,8,12.0,23.0,162,2,162,2,5,4.5,129,149,150,128,172,145,8,12,0.8,-,130,150
142,63,125,295,240,30,8,M27,34,177,8,13.0,26.0,188,2,188,2,5,4.5,155,175,176,154,208,175,8,12,0.8,-,145,160
143,63,150,345,280,33,8,M30,36,204,10,14.0,27.0,218,2,218,2,5,4.5,183,203,204,182,245,205,8,12,0.8,-,155,170
144,63,200,415,345,36,12,M33,42,264,10,16.0,32.0,285,2,285,2,5,4.5,239,259,260,238,306,265,8,12,0.8,-,170,190
145,63,250,470,400,36,12,M33,46,320,12,19.0,35.0,345,2,345,2,5,4.5,292,312,313,291,362,320,8,12,0.8,-,180,200
146,63,300,530,460,36,16,M33,52,378,12,21.0,39.0,410,2,410,2,5,4.5,343,363,364,342,422,375,8,12,0.8,-,195,215
147,63,350,600,525,39,16,M36*3,56,434,12,23.0,42.0,465,2,465,2,5.5,5,395,421,422,394,475,420,8,12,0.8,-,205,225
148,63,400,670,585,42,16,M39*3,60,490,12,26.0,45.0,535,2,535,2,5.5,5,447,473,478,446,540,480,8,12,0.8,-,220,240
149,100,10,100,70,14,4,M12,20,40,4,10.0,15.0,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,-,75,90
150,100,15,105,75,14,4,M12,20,45,4,10.0,15.0,45,2,45,2,4.5,4,29,39,40,28,55,35,6.5,9,0.8,-,75,90
151,100,20,130,90,18,4,M16,22,50,4,10.0,15.0,58,2,58,2,4.5,4,36,50,51,35,68,45,6.5,9,0.8,-,95,105
152,100,25,140,100,18,4,M16,24,61,4,10.0,18.0,68,2,68,2,4.5,4,43,57,58,42,78,50,6.5,9,0.8,-,95,110
153,100,32,155,110,22,4,M20,26,68,6,10.0,18.0,78,2,78,2,4.5,4,51,65,66,50,86,65,6.5,9,0.8,-,110,125
154,100,40,170,125,22,4,M20,28,82,6,10.0,21.0,88,2,88,2,4.5,4,61,75,76,60,102,75,6.5,9,0.8,-,115,130
155,100,50,195,145,26,4,M24,30,96,6,10.0,23.0,102,2,102,2,4.5,4,73,87,88,72,116,85,8,12,0.8,-,130,150
156,100,65,220,170,26,8,M24,34,118,6,11.0,24.0,122,2,122,2,4.5,4,95,109,110,94,140,110,8,12,0.8,-,135,155
157,100,80,230,180,26,8,M24,36,128,8,12.0,24.0,138,2,138,2,4.5,4,106,120,121,105,150,115,8,12,0.8,-,140,160
158,100,100,265,210,30,8,M27,40,150,8,14.0,25.0,162,2,162,2,5,4.5,129,149,150,128,176,145,8,12,0.8,-,155,175
159,100,125,315,250,33,8,M30,40,185,8,16.0,30.0,188,2,188,2,5,4.5,155,175,176,154,212,175,8,12,0.8,-,160,180
160,100,150,355,290,33,12,M30,44,216,10,18.0,33.0,218,2,218,2,5,4.5,183,203,204,182,250,205,8,12,0.8,-,170,190
161,100,200,430,360,36,12,M33,52,278,10,21.0,39.0,285,2,285,2,5,4.5,239,259,260,238,312,265,8,12,0.8,-,195,215
162,100,250,505,430,39,12,M36*3,60,340,12,25.0,45.0,345,2,345,2,5,4.5,292,312,313,291,376,320,8,12,0.8,-,210,230
163,100,300,585,500,42,16,M39*3,68,407,12,29.0,51.0,410,2,410,2,5,4.5,343,363,364,342,448,375,8,12,0.8,-,240,260
164,100,350,655,560,48,16,M45*3,74,460,12,32.0,55.0,465,2,465,2,5.5,5,395,421,422,394,505,420,11,17,0.8,-,265,290
165,100,400,715,620,48,16,M45*3,78,518,12,36.0,59.0,535,2,535,2,5.5,5,447,473,478,446,540,480,8,12,0.8,-,275,300
166,160,10,100,70,14,4,M12,20,40,4,10.0,15.0,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,-,75,90
167,160,15,105,75,14,4,M12,20,45,4,10.0,15.0,45,2,45,2,4.5,4,29,39,40,28,58,35,6.5,9,0.8,-,75,90
168,160,20,130,90,18,4,M16,24,50,4,10.0,15.0,58,2,58,2,4.5,4,36,50,51,35,70,45,6.5,9,0.8,-,95,110
169,160,25,140,100,18,4,M16,24,61,4,10.0,18.0,68,2,68,2,4.5,4,43,57,58,42,80,50,6.5,9,0.8,-,95,110
170,160,32,155,110,22,4,M20,28,68,4,10.0,18.0,78,2,78,2,4.5,4,51,65,66,50,86,65,6.5,9,0.8,-,110,125
171,160,40,170,125,22,4,M20,28,82,4,10.0,21.0,88,2,88,2,4.5,4,61,75,76,60,102,75,6.5,9,0.8,-,115,130
172,160,50,195,145,26,4,M24,30,96,4,10.0,23.0,102,2,102,2,4.5,4,73,87,88,72,118,95,8,12,0.8,-,130,150
173,160,65,220,170,26,8,M24,34,118,5,11.0,24.0,122,2,122,2,4.5,4,95,109,110,94,142,110,8,12,0.8,-,135,155
174,160,80,230,180,26,8,M24,36,128,5,12.0,24.0,138,2,138,2,4.5,4,106,120,121,105,152,130,8,12,0.8,-,140,160
175,160,100,265,210,30,8,M27,40,150,5,14.0,25.0,162,2,162,2,5,4.5,129,149,150,128,178,160,8,12,0.8,-,155,175
176,160,125,315,250,33,8,M30,44,184,6,16.0,29.5,188,2,188,2,5,4.5,155,175,176,154,215,190,8,12,0.8,-,170,190
177,160,150,355,290,33,12,M30,50,224,6,18.0,37.0,218,2,218,2,5,4.5,183,203,204,182,255,205,10,14,0.8,-,180,205
178,160,200,430,360,36,12,M33,60,288,8,21.0,44.0,285,2,285,2,5,4.5,239,259,260,238,322,275,11,17,0.8,-,210,235
179,160,250,515,430,42,12,M39*3,68,346,8,31.0,48.0,345,2,345,2,5,4.5,292,312,313,291,388,330,11,17,0.8,-,240,265
180,160,300,585,500,42,16,M39*3,78,414,10,46.0,57.0,410,2,410,2,5,4.5,343,363,364,342,456,380,14,23,0.8,-,260,290
