,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,N_A,N_B,S_min,H1_mean,R,H,RF_d,d,RF_f1,f1,f2,f3,W,X,Y,Z,RJ_d,P,E,F,RJ_r,m_kg,LSR,LZR,LZJ
82,40,32,42.4,38,140,100,18,4,M16,18,56,56,2.6,6,6,42,78,78,2,2,4.5,4,51,65,66,50,-,-,-,-,-,2.0,-,85,-
83,40,40,48.3,45,150,110,18,4,M16,18,64,64,2.6,7,6,45,88,88,2,2,4.5,4,61,75,76,60,-,-,-,-,-,2.0,-,85,-
84,40,50,60.3,57,165,125,18,4,M16,20,75,75,2.9,8,6,48,102,102,2,2,4.5,4,73,87,88,72,-,-,-,-,-,3.0,-,90,-
85,40,65,76.1,76,185,145,18,8,M16,22,90,90,2.9,10,6,52,122,122,2,2,4.5,4,95,109,110,94,-,-,-,-,-,4.0,-,95,-
86,40,80,88.9,89,200,160,18,8,M16,24,105,105,3.2,12,8,58,138,138,2,2,4.5,4,106,120,121,105,-,-,-,-,-,5.0,-,95,-
87,40,100,114.3,108,235,190,22,8,M20,24,134,134,3.6,12,8,65,162,162,2,2,5,4.5,129,149,150,128,-,-,-,-,-,6.5,-,105,-
88,40,125,139.7,133,270,220,26,8,M24,26,162,162,4.0,12,8,68,188,188,2,2,5,4.5,155,175,176,154,-,-,-,-,-,9.0,-,120,-
89,40,150,168.3,159,300,250,26,8,M24,28,192,192,4.5,12,10,75,218,218,2,2,5,4.5,183,203,204,182,-,-,-,-,-,11.5,-,125,-
90,40,200,219.1,219,375,320,30,12,M27,34,244,244,6.3,16,10,88,285,285,2,2,5,4.5,239,259,260,238,-,-,-,-,-,21.0,-,145,-
91,40,250,273.0,273,450,385,33,12,M30,38,306,306,7.1,18,12,105,345,345,2,2,5,4.5,292,312,313,291,-,-,-,-,-,34.0,-,155,-
92,40,300,323.9,325,515,450,33,16,M30,42,362,362,8.0,18,12,115,410,410,2,2,5,4.5,343,363,364,342,-,-,-,-,-,47.5,-,165,-
93,40,350,355.6,377,580,510,36,16,M33,46,408,430,8.8,20,12,125,465,465,2,2,5.5,5,395,421,422,394,-,-,-,-,-,69.0,-,180,-
94,40,400,406.4,426,660,585,39,16,M36*3,50,462,482,11.0,20,12,135,535,535,2,2,5.5,5,447,473,478,446,-,-,-,-,-,98.0,-,190,-
95,40,450,457.0,480,685,610,39,20,M36*3,57,500,522,12.5,20,12,135,560,560,2,2,5.5,5,497,523,524,496,-,-,-,-,-,105.1,-,205,-
96,40,500,508.0,530,755,670,42,20,M39*3,57,562,584,14.2,20,12,140,615,615,2,2,5.5,5,549,575,576,548,-,-,-,-,-,130.5,-,215,-
97,40,600,610.0,630,890,795,48,20,M45*3,72,666,686,16.0,20,12,150,735,735,2,2,5.5,5,649,675,676,648,-,-,-,-,-,211.5,-,260,-
98,63,10,17.2,14,100,70,14,4,M12,20,32,32,1.8,6,4,45,40,40,2,2,4.5,4,24,34,35,23,-,-,-,-,-,1.0,-,75,90
99,63,15,21.3,18,105,75,14,4,M12,20,34,34,2.0,6,4,45,45,45,2,2,4.5,4,29,39,40,28,55,35,6.5,9,0.8,1.0,-,75,90
100,63,20,26.9,25,130,90,18,4,M16,22,42,42,2.6,8,4,48,58,58,2,2,4.5,4,36,50,51,35,68,45,6.5,9,0.8,2.0,-,95,105
101,63,25,33.7,32,140,100,18,4,M16,24,52,52,2.6,8,4,58,68,68,2,2,4.5,4,43,57,58,42,78,50,6.5,9,0.8,2.5,-,95,110
102,63,32,42.4,38,155,110,22,4,M20,24,62,62,2.9,8,6,60,78,78,2,2,4.5,4,51,65,66,50,86,65,6.5,9,0.8,3.0,-,105,120
103,63,40,48.3,45,170,125,22,4,M20,26,70,70,2.9,10,6,62,88,88,2,2,4.5,4,61,75,76,60,102,75,6.5,9,0.8,4.0,-,110,125
104,63,50,60.3,57,180,135,22,4,M20,26,82,82,2.9,10,6,62,102,102,2,2,4.5,4,73,87,88,72,112,85,8,12,0.8,4.5,-,110,130
105,63,65,76.1,76,205,160,22,8,M20,26,98,98,3.2,12,6,68,122,122,2,2,4.5,4,95,109,110,94,136,110,8,12,0.8,5.5,-,110,130
106,63,80,88.9,89,215,170,22,8,M20,28,112,112,3.6,12,8,72,138,138,2,2,4.5,4,106,120,121,105,146,115,8,12,0.8,6.5,-,115,135
107,63,100,114.3,108,250,200,26,8,M24,30,138,138,4.0,12,8,78,162,162,2,2,5,4.5,129,149,150,128,172,145,8,12,0.8,9.5,-,130,150
108,63,125,139.7,133,295,240,30,8,M27,34,168,168,4.5,12,8,88,188,188,2,2,5,4.5,155,175,176,154,208,175,8,12,0.8,14.5,-,145,160
109,63,150,168.3,159,345,280,33,8,M30,36,202,202,5.6,12,10,95,218,218,2,2,5,4.5,183,203,204,182,245,205,8,12,0.8,21.5,-,155,170
110,63,200,219.1,219,415,345,36,12,M33,42,256,256,7.1,16,10,110,285,285,2,2,5,4.5,239,259,260,238,306,265,8,12,0.8,34.0,-,170,190
111,63,250,273.0,273,470,400,36,12,M33,46,316,316,8.8,18,12,125,345,345,2,2,5,4.5,292,312,313,291,362,320,8,12,0.8,48.0,-,180,200
112,63,300,323.9,325,530,460,36,16,M33,52,372,372,11.0,18,12,140,410,410,2,2,5,4.5,343,363,364,342,422,375,8,12,0.8,67.5,-,195,215
113,63,350,355.6,377,600,525,39,16,M36*3,56,420,442,12.5,20,12,150,465,465,2,2,5.5,5,395,421,422,394,475,420,8,12,0.8,97.5,-,205,225
114,63,400,406.4,426,670,585,42,16,M39*3,60,475,495,14.2,20,12,160,535,535,2,2,5.5,5,447,473,478,446,540,480,8,12,0.8,129.0,-,220,240
115,100,10,17.2,14,100,70,14,4,M12,20,32,32,1.8,6,4,45,40,40,2,2,4.5,4,24,34,35,23,-,-,-,-,-,1.0,-,75,90
116,100,15,21.3,18,105,75,14,4,M12,20,34,34,2.0,6,4,45,45,45,2,2,4.5,4,29,39,40,28,55,35,6.5,9,0.8,1.0,-,75,90
117,100,20,26.9,25,130,90,18,4,M16,22,42,42,2.6,8,4,48,58,58,2,2,4.5,4,36,50,51,35,68,45,6.5,9,0.8,2.0,-,95,105
118,100,25,33.7,32,140,100,18,4,M16,24,52,52,2.6,8,4,58,68,68,2,2,4.5,4,43,57,58,42,78,50,6.5,9,0.8,2.5,-,95,110
119,100,32,42.4,38,155,110,22,4,M20,24,62,62,2.9,8,6,60,78,78,2,2,4.5,4,51,65,66,50,86,65,6.5,9,0.8,3.0,-,105,120
120,100,40,48.3,45,170,125,22,4,M20,26,70,70,2.9,10,6,62,88,88,2,2,4.5,4,61,75,76,60,102,75,6.5,9,0.8,4.0,-,110,125
121,100,50,60.3,57,195,145,26,4,M24,28,90,90,3.2,10,6,68,102,102,2,2,4.5,4,73,87,88,72,116,85,8,12,0.8,6.0,-,125,145
122,100,65,76.1,76,220,170,26,8,M24,30,108,108,3.6,12,6,76,122,122,2,2,4.5,4,95,109,110,94,140,110,8,12,0.8,7.5,-,130,150
123,100,80,88.9,89,230,180,26,8,M24,32,120,120,4.0,12,8,78,138,138,2,2,4.5,4,106,120,121,105,150,115,8,12,0.8,9.0,-,135,155
124,100,100,114.3,108,265,210,30,8,M27,36,150,150,5.0,12,8,90,162,162,2,2,5,4.5,129,149,150,128,176,145,8,12,0.8,13.0,-,145,165
125,100,125,139.7,133,315,250,33,8,M30,40,180,180,6.3,12,8,105,188,188,2,2,5,4.5,155,175,176,154,212,175,8,12,0.8,21.0,-,160,180
126,100,150,168.3,159,355,290,33,12,M30,44,210,210,7.1,12,10,115,218,218,2,2,5,4.5,183,203,204,182,250,205,8,12,0.8,28.0,-,170,190
127,100,200,219.1,219,430,360,36,12,M33,52,278,278,10.0,16,10,130,285,285,2,2,5,4.5,239,259,260,238,312,265,8,12,0.8,50.0,-,195,215
128,100,250,273.0,273,505,430,39,12,M36*3,60,340,340,12.5,18,12,157,345,345,2,2,5,4.5,292,312,313,291,376,320,8,12,0.8,81.0,-,210,230
129,100,300,323.9,325,585,500,42,16,M39*3,68,400,400,14.2,18,12,170,410,410,2,2,5,4.5,343,363,364,342,448,375,8,12,0.8,117.97,-,240,260
130,100,350,355.6,377,655,560,48,16,M45*3,74,460,482,16.0,20,12,189,465,465,2,2,5.5,5,395,421,422,394,505,420,11,17,0.8,167.25,-,265,290
131,160,10,17.2,14,100,70,14,4,M12,20,32,32,2.0,6,4,45,40,40,2,2,4.5,4,24,34,35,23,-,-,-,-,-,1.5,-,75,90
132,160,15,21.3,18,105,75,14,4,M12,20,34,34,2.0,6,4,45,45,45,2,2,4.5,4,29,39,40,28,58,35,6.5,9,0.8,1.5,-,75,90
133,160,20,26.9,25,130,90,18,4,M16,24,42,42,2.9,6,4,52,58,58,2,2,4.5,4,36,50,51,35,70,45,6.5,9,0.8,2.5,-,95,110
