,PN,DN,D,K,L,n,Th,C,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,RJ_d,P,E,F,RJ_R,m_kg
107,16,1200,1485,1390,48,32,M45*3,76,1330,2,-,-,-,-,-,-,-,-,-,-,-,-,-,999.0
108,25,10,90,60,14,4,M12,16,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,1.0
109,25,15,95,65,14,4,M12,16,45,2,45,2,4.5,4,29,39,40,28,-,-,-,-,-,1.0
110,25,20,105,75,14,4,M12,18,58,2,58,2,4.5,4,36,50,51,35,-,-,-,-,-,1.0
111,25,25,115,85,14,4,M12,18,68,2,68,2,4.5,4,43,57,58,42,-,-,-,-,-,1.5
112,25,32,140,100,18,4,M16,18,78,2,78,2,4.5,4,51,65,66,50,-,-,-,-,-,2.0
113,25,40,150,110,18,4,M16,18,88,2,88,2,4.5,4,61,75,76,60,-,-,-,-,-,2.5
114,25,50,165,125,18,4,M16,20,102,2,102,2,4.5,4,73,87,88,72,-,-,-,-,-,3.0
115,25,65,185,145,18,8,M16,22,122,2,122,2,4.5,4,95,109,110,94,-,-,-,-,-,4.5
116,25,80,200,160,18,8,M16,24,138,2,138,2,4.5,4,106,120,121,105,-,-,-,-,-,5.5
117,25,100,235,190,22,8,M20,24,162,2,162,2,5,4.5,129,149,150,128,-,-,-,-,-,7.5
118,25,125,270,220,26,8,M24,26,188,2,188,2,5,4.5,155,175,176,154,-,-,-,-,-,11.0
119,25,150,300,250,26,8,M24,28,218,2,218,2,5,4.5,183,203,204,182,-,-,-,-,-,14.5
120,25,200,360,310,26,12,M24,30,278,2,278,2,5,4.5,239,259,260,238,-,-,-,-,-,22.5
121,25,250,425,370,30,12,M27,32,335,2,335,2,5,4.5,292,312,313,291,-,-,-,-,-,33.5
122,25,300,485,430,30,16,M27,34,395,2,395,2,5,4.5,343,363,364,342,-,-,-,-,-,46.5
123,25,350,555,490,33,16,M30,38,450,2,450,2,5.5,5,395,421,422,394,-,-,-,-,-,68.0
124,25,400,620,550,36,16,M33,40,505,2,505,2,5.5,5,447,473,478,446,-,-,-,-,-,89.5
125,25,450,670,600,36,20,M33,46,555,2,555,2,5.5,5,497,523,524,496,-,-,-,-,-,120.0
126,25,500,730,660,36,20,M33,48,615,2,615,2,5.5,5,549,575,576,548,-,-,-,-,-,150.0
127,25,600,845,770,39,20,M36*3,58,720,2,720,2,5.5,5,649,675,676,648,-,-,-,-,-,244.5
128,40,10,90,60,14,4,M12,16,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,1.0
129,40,15,95,65,14,4,M12,16,45,2,45,2,4.5,4,29,39,40,28,-,-,-,-,-,1.0
130,40,20,105,75,14,4,M12,18,58,2,58,2,4.5,4,36,50,51,35,-,-,-,-,-,1.0
131,40,25,115,85,14,4,M12,18,68,2,68,2,4.5,4,43,57,58,42,-,-,-,-,-,1.5
132,40,32,140,100,18,4,M16,18,78,2,78,2,4.5,4,51,65,66,50,-,-,-,-,-,2.0
133,40,40,150,110,18,4,M16,18,88,2,88,2,4.5,4,61,75,76,60,-,-,-,-,-,2.5
134,40,50,165,125,18,4,M16,20,102,2,102,2,4.5,4,73,87,88,72,-,-,-,-,-,3.0
135,40,65,185,145,18,8,M16,22,122,2,122,2,4.5,4,95,109,110,94,-,-,-,-,-,4.5
136,40,80,200,160,18,8,M16,24,138,2,138,2,4.5,4,106,120,121,105,-,-,-,-,-,5.5
137,40,100,235,190,22,8,M20,24,162,2,162,2,5,4.5,129,149,150,128,-,-,-,-,-,7.5
138,40,125,270,220,26,8,M24,26,188,2,188,2,5,4.5,155,175,176,154,-,-,-,-,-,11.0
139,40,150,300,250,26,8,M24,28,218,2,218,2,5,4.5,183,203,204,182,-,-,-,-,-,14.5
140,40,200,375,320,30,12,M27,36,285,2,285,2,5,4.5,239,259,260,238,-,-,-,-,-,29.0
141,40,250,450,385,33,12,M30,38,345,2,345,2,5,4.5,292,312,313,291,-,-,-,-,-,44.5
142,40,300,515,450,33,16,M30,42,410,2,410,2,5,4.5,343,363,364,342,-,-,-,-,-,64.0
143,40,350,580,510,36,16,M33,46,465,2,465,2,5.5,5,395,421,422,394,-,-,-,-,-,89.5
144,40,400,660,585,39,16,M36*3,50,535,2,535,2,5.5,5,447,473,478,446,-,-,-,-,-,127.0
145,40,450,685,610,39,20,M36*3,57,560,2,560,2,5.5,5,497,523,524,496,-,-,-,-,-,154.0
146,40,500,755,670,42,20,M39*3,57,615,2,615,2,5.5,5,549,575,576,548,-,-,-,-,-,188.0
147,40,600,890,795,48,20,M45*3,72,735,2,735,2,5.5,5,649,675,676,648,-,-,-,-,-,331.0
148,63,10,100,70,14,4,M12,20,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,1.0
149,63,15,105,75,14,4,M12,20,45,2,45,2,4.5,4,29,39,40,28,55,35,6.5,9,0.8,1.5
150,63,20,130,90,18,4,M16,22,58,2,58,2,4.5,4,36,50,51,35,68,45,6.5,9,0.8,2.0
151,63,25,140,100,18,4,M16,24,68,2,68,2,4.5,4,43,57,58,42,78,50,6.5,9,0.8,2.5
152,63,32,155,110,22,4,M20,24,78,2,78,2,4.5,4,51,65,66,50,86,65,6.5,9,0.8,3.5
153,63,40,170,125,22,4,M20,26,88,2,88,2,4.5,4,61,75,76,60,102,75,6.5,9,0.8,4.5
154,63,50,180,135,22,4,M20,26,102,2,102,2,4.5,4,73,87,88,72,112,85,8,12,0.8,5.0
155,63,65,205,160,22,8,M20,26,122,2,122,2,4.5,4,95,109,110,94,136,110,8,12,0.8,6.0
156,63,80,215,170,22,8,M20,28,138,2,138,2,4.5,4,106,120,121,105,146,115,8,12,0.8,7.5
157,63,100,250,200,26,8,M24,30,162,2,162,2,5,4.5,129,149,150,128,172,145,8,12,0.8,10.5
158,63,125,295,240,30,8,M27,34,188,2,188,2,5,4.5,155,175,176,154,208,175,8,12,0.8,16.5
159,63,150,345,280,33,8,M30,36,218,2,218,2,5,4.5,183,203,204,182,245,205,8,12,0.8,24.5
160,63,200,415,345,36,12,M33,42,285,2,285,2,5,4.5,239,259,260,238,306,265,8,12,0.8,40.5
161,63,250,470,400,36,12,M33,46,345,2,345,2,5,4.5,292,312,313,291,362,320,8,12,0.8,58.0
162,63,300,530,460,36,16,M33,52,410,2,410,2,5,4.5,343,363,364,342,422,375,8,12,0.8,83.5
163,63,350,600,525,39,16,M36*3,56,465,2,465,2,5.5,5,395,421,422,394,475,420,8,12,0.8,116.0
164,63,400,670,585,42,16,M39*3,60,535,2,535,2,5.5,5,447,473,478,446,540,480,8,12,0.8,155.5
165,100,10,100,70,14,4,M12,20,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,1.0
166,100,15,105,75,14,4,M12,20,45,2,45,2,4.5,4,29,39,40,28,55,35,6.5,9,0.8,1.5
167,100,20,130,90,18,4,M16,22,58,2,58,2,4.5,4,36,50,51,35,68,45,6.5,9,0.8,2.0
168,100,25,140,100,18,4,M16,24,68,2,68,2,4.5,4,43,57,58,42,78,50,6.5,9,0.8,2.5
169,100,32,155,110,22,4,M20,24,78,2,78,2,4.5,4,51,65,66,50,86,65,6.5,9,0.8,3.5
170,100,40,170,125,22,4,M20,26,88,2,88,2,4.5,4,61,75,76,60,102,75,6.5,9,0.8,4.5
171,100,50,195,145,26,4,M24,28,102,2,102,2,4.5,4,73,87,88,72,116,85,8,12,0.8,6.0
172,100,65,220,170,26,8,M24,30,122,2,122,2,4.5,4,95,109,110,94,140,110,8,12,0.8,8.0
173,100,80,230,180,26,8,M24,32,138,2,138,2,4.5,4,106,120,121,105,150,115,8,12,0.8,9.5
174,100,100,265,210,30,8,M27,36,162,2,162,2,5,4.5,129,149,150,128,176,145,8,12,0.8,14.0
175,100,125,315,250,33,8,M30,40,188,2,188,2,5,4.5,155,175,176,154,212,175,8,12,0.8,22.5
176,100,150,355,290,33,12,M30,44,218,2,218,2,5,4.5,183,203,204,182,250,205,8,12,0.8,30.5
177,100,200,430,360,36,12,M33,52,285,2,285,2,5,4.5,239,259,260,238,312,265,8,12,0.8,54.5
178,100,250,505,430,39,12,M36*3,60,345,2,345,2,5,4.5,292,312,313,291,376,320,8,12,0.8,87.5
179,100,300,585,500,42,16,M39*3,68,410,2,410,2,5,4.5,343,363,364,342,448,375,8,12,0.8,131.5
180,100,350,655,560,48,16,M45*3,74,465,2,465,2,5.5,5,395,421,422,394,505,420,11,17,0.8,179.0
181,100,400,715,620,48,16,M45*3,82,535,2,535,2,5.5,5,447,473,478,446,540,480,8,12,0.8,243.0
182,160,10,100,70,14,4,M12,24,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,1.5
183,160,15,105,75,14,4,M12,26,45,2,45,2,4.5,4,29,39,40,28,58,35,6.5,9,0.8,2.0
184,160,20,130,90,18,4,M16,30,58,2,58,2,4.5,4,36,50,51,35,70,45,6.5,9,0.8,3.0
185,160,25,140,100,18,4,M16,32,68,2,68,2,4.5,4,43,57,58,42,80,50,6.5,9,0.8,4.0
186,160,32,155,110,22,4,M20,34,78,2,78,2,4.5,4,51,65,66,50,86,65,6.5,9,0.8,5.0
187,160,40,170,125,22,4,M20,36,88,2,88,2,4.5,4,61,75,76,60,102,75,6.5,9,0.8,6.0
188,160,50,195,145,26,4,M24,38,102,2,102,2,4.5,4,73,87,88,72,118,95,8,12,0.8,8.5
189,160,65,220,170,26,8,M24,42,122,2,122,2,4.5,4,95,109,110,94,142,110,8,12,0.8,11.5
190,160,80,230,180,26,8,M24,46,138,2,138,2,4.5,4,106,120,121,105,152,130,8,12,0.8,14.0
191,160,100,265,210,30,8,M27,52,162,2,162,2,5,4.5,129,149,150,128,178,160,8,12,0.8,20.5
192,160,125,315,250,33,8,M30,56,188,2,188,2,5,4.5,155,175,176,154,215,190,8,12,0.8,32.0
193,160,150,355,290,33,12,M30,62,218,2,218,2,5,4.5,183,203,204,182,255,205,10,14,0.8,44.0
194,160,200,430,360,36,12,M33,66,285,2,285,2,5,4.5,239,259,260,238,322,275,11,17,0.8,70.0
195,160,250,515,430,42,12,M39*3,76,345,2,345,2,5,4.5,292,312,313,291,388,330,11,17,0.8,115.5
196,160,300,585,500,42,16,M39*3,88,410,2,410,2,5,4.5,343,363,364,342,456,380,14,23,0.8,172.0
