,Class,PN,DN2,DN,A1_A,A1_B,D,K,L,Th,n,C,N_A,N_B,H,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,c_num,RJ_d,P,E,F,RJ_R,m_kg,LSR,LZR,LZM,LZJ
55,600,class_600,500,"20""",508.0,-,815,723.9,45,M42*3,24,88.9,610,-,305,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,R73,635,584.2,9.53,13.49,1.5,409.24,-,305,300,310
56,600,class_600,600,"24""",610.0,-,940,838.2,51,M48*3,24,101.6,718,-,305,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,R77,749,692.15,11.13,16.66,1.5,541.81,-,345,340,350
57,900,class_900,15,"1/2""",21.3,-,120,82.6,22,M20,4,22.3,38,-,229,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R12,60.5,39.67,6.35,8.74,0.8,3.23,-,115,115,115
58,900,class_900,20,"3/4""",26.9,-,130,88.9,22,M20,4,25.4,44,-,229,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R14,66.5,44.45,6.35,8.74,0.8,4.18,-,125,120,125
59,900,class_900,25,"1""",33.7,-,150,101.6,26,M24,4,28.6,52,-,229,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,71.5,50.8,6.35,8.74,0.8,5.84,-,140,135,140
60,900,class_900,32,"1 1/4""",42.4,-,160,111.1,26,M24,4,28.6,64,-,229,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,81,60.33,6.35,8.74,0.8,7.44,-,140,135,140
61,900,class_900,40,"1 1/2""",48.3,-,180,123.8,30,M27,4,31.8,70,-,229,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,92,68.27,6.35,8.74,0.8,9.32,-,155,150,155
62,900,class_900,50,"2""",60.3,-,215,165.1,26,M24,8,38.1,105,-,229,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R24,124,95.25,7.92,11.91,0.8,18.87,-,160,155,160
63,900,class_900,65,"2 1/2""",76.1,-,245,190.5,30,M27,8,41.3,124,-,229,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R27,137,107.95,7.92,11.91,0.8,25.21,-,175,170,175
64,900,class_900,80,"3""",88.9,-,240,190.5,26,M24,8,38.1,127,-,229,127.0,2,2,138,108,127,128.6,106.4,7,5,R31,156,123.83,7.92,11.91,0.8,23.04,-,160,155,165
65,900,class_900,100,"4""",114.3,-,290,235.0,33,M30,8,44.5,159,-,229,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R37,181,149.23,7.92,11.91,0.8,35.27,-,190,185,190
66,900,class_900,125,"5""",139.7,-,350,279.4,36,M33,8,50.8,190,-,305,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R41,216,180.98,7.92,11.91,0.8,61.73,-,210,205,210
